Instruction,Category,Constraints,Number_of_Constraints,SelectedConstraints
"Write a story about sitting on a park bench for no reason, watching people. A conversation with a random stranger who is resting while walking his/her dog.",Realistic Fiction,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench.
4. The park bench must have a peculiar engraving that holds a hidden meaning revealed at the end.
5. The protagonist must be an aspiring novelist struggling with writer's block.
6. Every third person the protagonist observes must be wearing a hat, which signifies good or bad luck based on its color.
7. The protagonist must possess a unique pocket watch that mysteriously stops whenever something significant is about to happen.
8. Include sensory details about the various smells in the park that trigger specific memories for the protagonist.
9. The protagonist must witness a proposal under the tree near the park bench, which symbolizes hope and new beginnings.
10. Integrate a parallel narrative in the form of a journal entry found under the park bench, revealing a love story from the past.
11. The random stranger's dog must have a distinctive marking that resembles a symbol relevant to the protagonist's life.
12. Employ a non-linear narrative structure, shifting between past and present seamlessly.
13. The protagonist must have a recurring dream about flying that becomes a motif throughout the story.
14. Develop a minor character who collects fallen leaves from the tree near the park bench and holds a secret connection to the protagonist.
15. Incorporate the sound of distant church bells ringing at specific points, signaling a turning point in the protagonist's reflections.
16. Use the changing weather patterns throughout the day to mirror the emotional journey of the protagonist.
17. The random stranger must carry a mysterious key that unlocks a hidden compartment in the park bench, revealing a forgotten keepsake.
18. Introduce a street musician whose tune resonates with the protagonist's unresolved emotions.
19. Include a flock of migrating birds that create a mesmerizing pattern in the sky, captivating both the protagonist and the random stranger.
20. End the story with the park bench being dedicated to a loved one, encapsulating the theme of closure and acceptance.",3,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench."
"Write a story about sitting on a park bench for no reason, watching people. A conversation with a random stranger who is resting while walking his/her dog.",Realistic Fiction,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench.
4. The park bench must have a peculiar engraving that holds a hidden meaning revealed at the end.
5. The protagonist must be an aspiring novelist struggling with writer's block.
6. Every third person the protagonist observes must be wearing a hat, which signifies good or bad luck based on its color.
7. The protagonist must possess a unique pocket watch that mysteriously stops whenever something significant is about to happen.
8. Include sensory details about the various smells in the park that trigger specific memories for the protagonist.
9. The protagonist must witness a proposal under the tree near the park bench, which symbolizes hope and new beginnings.
10. Integrate a parallel narrative in the form of a journal entry found under the park bench, revealing a love story from the past.
11. The random stranger's dog must have a distinctive marking that resembles a symbol relevant to the protagonist's life.
12. Employ a non-linear narrative structure, shifting between past and present seamlessly.
13. The protagonist must have a recurring dream about flying that becomes a motif throughout the story.
14. Develop a minor character who collects fallen leaves from the tree near the park bench and holds a secret connection to the protagonist.
15. Incorporate the sound of distant church bells ringing at specific points, signaling a turning point in the protagonist's reflections.
16. Use the changing weather patterns throughout the day to mirror the emotional journey of the protagonist.
17. The random stranger must carry a mysterious key that unlocks a hidden compartment in the park bench, revealing a forgotten keepsake.
18. Introduce a street musician whose tune resonates with the protagonist's unresolved emotions.
19. Include a flock of migrating birds that create a mesmerizing pattern in the sky, captivating both the protagonist and the random stranger.
20. End the story with the park bench being dedicated to a loved one, encapsulating the theme of closure and acceptance.",7,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench.
4. The park bench must have a peculiar engraving that holds a hidden meaning revealed at the end.
5. The protagonist must be an aspiring novelist struggling with writer's block.
6. Every third person the protagonist observes must be wearing a hat, which signifies good or bad luck based on its color.
7. The protagonist must possess a unique pocket watch that mysteriously stops whenever something significant is about to happen."
"Write a story about sitting on a park bench for no reason, watching people. A conversation with a random stranger who is resting while walking his/her dog.",Realistic Fiction,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench.
4. The park bench must have a peculiar engraving that holds a hidden meaning revealed at the end.
5. The protagonist must be an aspiring novelist struggling with writer's block.
6. Every third person the protagonist observes must be wearing a hat, which signifies good or bad luck based on its color.
7. The protagonist must possess a unique pocket watch that mysteriously stops whenever something significant is about to happen.
8. Include sensory details about the various smells in the park that trigger specific memories for the protagonist.
9. The protagonist must witness a proposal under the tree near the park bench, which symbolizes hope and new beginnings.
10. Integrate a parallel narrative in the form of a journal entry found under the park bench, revealing a love story from the past.
11. The random stranger's dog must have a distinctive marking that resembles a symbol relevant to the protagonist's life.
12. Employ a non-linear narrative structure, shifting between past and present seamlessly.
13. The protagonist must have a recurring dream about flying that becomes a motif throughout the story.
14. Develop a minor character who collects fallen leaves from the tree near the park bench and holds a secret connection to the protagonist.
15. Incorporate the sound of distant church bells ringing at specific points, signaling a turning point in the protagonist's reflections.
16. Use the changing weather patterns throughout the day to mirror the emotional journey of the protagonist.
17. The random stranger must carry a mysterious key that unlocks a hidden compartment in the park bench, revealing a forgotten keepsake.
18. Introduce a street musician whose tune resonates with the protagonist's unresolved emotions.
19. Include a flock of migrating birds that create a mesmerizing pattern in the sky, captivating both the protagonist and the random stranger.
20. End the story with the park bench being dedicated to a loved one, encapsulating the theme of closure and acceptance.",11,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench.
4. The park bench must have a peculiar engraving that holds a hidden meaning revealed at the end.
5. The protagonist must be an aspiring novelist struggling with writer's block.
6. Every third person the protagonist observes must be wearing a hat, which signifies good or bad luck based on its color.
7. The protagonist must possess a unique pocket watch that mysteriously stops whenever something significant is about to happen.
8. Include sensory details about the various smells in the park that trigger specific memories for the protagonist.
9. The protagonist must witness a proposal under the tree near the park bench, which symbolizes hope and new beginnings.
10. Integrate a parallel narrative in the form of a journal entry found under the park bench, revealing a love story from the past.
11. The random stranger's dog must have a distinctive marking that resembles a symbol relevant to the protagonist's life."
"Write a story about sitting on a park bench for no reason, watching people. A conversation with a random stranger who is resting while walking his/her dog.",Realistic Fiction,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench.
4. The park bench must have a peculiar engraving that holds a hidden meaning revealed at the end.
5. The protagonist must be an aspiring novelist struggling with writer's block.
6. Every third person the protagonist observes must be wearing a hat, which signifies good or bad luck based on its color.
7. The protagonist must possess a unique pocket watch that mysteriously stops whenever something significant is about to happen.
8. Include sensory details about the various smells in the park that trigger specific memories for the protagonist.
9. The protagonist must witness a proposal under the tree near the park bench, which symbolizes hope and new beginnings.
10. Integrate a parallel narrative in the form of a journal entry found under the park bench, revealing a love story from the past.
11. The random stranger's dog must have a distinctive marking that resembles a symbol relevant to the protagonist's life.
12. Employ a non-linear narrative structure, shifting between past and present seamlessly.
13. The protagonist must have a recurring dream about flying that becomes a motif throughout the story.
14. Develop a minor character who collects fallen leaves from the tree near the park bench and holds a secret connection to the protagonist.
15. Incorporate the sound of distant church bells ringing at specific points, signaling a turning point in the protagonist's reflections.
16. Use the changing weather patterns throughout the day to mirror the emotional journey of the protagonist.
17. The random stranger must carry a mysterious key that unlocks a hidden compartment in the park bench, revealing a forgotten keepsake.
18. Introduce a street musician whose tune resonates with the protagonist's unresolved emotions.
19. Include a flock of migrating birds that create a mesmerizing pattern in the sky, captivating both the protagonist and the random stranger.
20. End the story with the park bench being dedicated to a loved one, encapsulating the theme of closure and acceptance.",15,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench.
4. The park bench must have a peculiar engraving that holds a hidden meaning revealed at the end.
5. The protagonist must be an aspiring novelist struggling with writer's block.
6. Every third person the protagonist observes must be wearing a hat, which signifies good or bad luck based on its color.
7. The protagonist must possess a unique pocket watch that mysteriously stops whenever something significant is about to happen.
8. Include sensory details about the various smells in the park that trigger specific memories for the protagonist.
9. The protagonist must witness a proposal under the tree near the park bench, which symbolizes hope and new beginnings.
10. Integrate a parallel narrative in the form of a journal entry found under the park bench, revealing a love story from the past.
11. The random stranger's dog must have a distinctive marking that resembles a symbol relevant to the protagonist's life.
12. Employ a non-linear narrative structure, shifting between past and present seamlessly.
13. The protagonist must have a recurring dream about flying that becomes a motif throughout the story.
14. Develop a minor character who collects fallen leaves from the tree near the park bench and holds a secret connection to the protagonist.
15. Incorporate the sound of distant church bells ringing at specific points, signaling a turning point in the protagonist's reflections."
"Write a story about sitting on a park bench for no reason, watching people. A conversation with a random stranger who is resting while walking his/her dog.",Realistic Fiction,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench.
4. The park bench must have a peculiar engraving that holds a hidden meaning revealed at the end.
5. The protagonist must be an aspiring novelist struggling with writer's block.
6. Every third person the protagonist observes must be wearing a hat, which signifies good or bad luck based on its color.
7. The protagonist must possess a unique pocket watch that mysteriously stops whenever something significant is about to happen.
8. Include sensory details about the various smells in the park that trigger specific memories for the protagonist.
9. The protagonist must witness a proposal under the tree near the park bench, which symbolizes hope and new beginnings.
10. Integrate a parallel narrative in the form of a journal entry found under the park bench, revealing a love story from the past.
11. The random stranger's dog must have a distinctive marking that resembles a symbol relevant to the protagonist's life.
12. Employ a non-linear narrative structure, shifting between past and present seamlessly.
13. The protagonist must have a recurring dream about flying that becomes a motif throughout the story.
14. Develop a minor character who collects fallen leaves from the tree near the park bench and holds a secret connection to the protagonist.
15. Incorporate the sound of distant church bells ringing at specific points, signaling a turning point in the protagonist's reflections.
16. Use the changing weather patterns throughout the day to mirror the emotional journey of the protagonist.
17. The random stranger must carry a mysterious key that unlocks a hidden compartment in the park bench, revealing a forgotten keepsake.
18. Introduce a street musician whose tune resonates with the protagonist's unresolved emotions.
19. Include a flock of migrating birds that create a mesmerizing pattern in the sky, captivating both the protagonist and the random stranger.
20. End the story with the park bench being dedicated to a loved one, encapsulating the theme of closure and acceptance.",19,"1. The protagonist must be an elderly person reminiscing about their youth throughout the story.
2. The random stranger must speak in cryptic riddles that foreshadow events in the protagonist's life.
3. Include a subplot where a child is flying a kite that gets stuck in the tree above the park bench.
4. The park bench must have a peculiar engraving that holds a hidden meaning revealed at the end.
5. The protagonist must be an aspiring novelist struggling with writer's block.
6. Every third person the protagonist observes must be wearing a hat, which signifies good or bad luck based on its color.
7. The protagonist must possess a unique pocket watch that mysteriously stops whenever something significant is about to happen.
8. Include sensory details about the various smells in the park that trigger specific memories for the protagonist.
9. The protagonist must witness a proposal under the tree near the park bench, which symbolizes hope and new beginnings.
10. Integrate a parallel narrative in the form of a journal entry found under the park bench, revealing a love story from the past.
11. The random stranger's dog must have a distinctive marking that resembles a symbol relevant to the protagonist's life.
12. Employ a non-linear narrative structure, shifting between past and present seamlessly.
13. The protagonist must have a recurring dream about flying that becomes a motif throughout the story.
14. Develop a minor character who collects fallen leaves from the tree near the park bench and holds a secret connection to the protagonist.
15. Incorporate the sound of distant church bells ringing at specific points, signaling a turning point in the protagonist's reflections.
16. Use the changing weather patterns throughout the day to mirror the emotional journey of the protagonist.
17. The random stranger must carry a mysterious key that unlocks a hidden compartment in the park bench, revealing a forgotten keepsake.
18. Introduce a street musician whose tune resonates with the protagonist's unresolved emotions.
19. Include a flock of migrating birds that create a mesmerizing pattern in the sky, captivating both the protagonist and the random stranger."
"A story about a high-achieving student who silently struggles with imposter syndrome. Despite their outward success and praise, they constantly doubt their abilities and fear being exposed as a fraud. ",Realistic Fiction,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature.
4. The student's imposter syndrome must manifest as hearing a mocking voice in their head.
5. The story must include a dream sequence where the student envisions failing all their exams.
6. The student must have a part-time job at a coffee shop that plays a significant role in the plot.
7. Include a subplot where the student volunteers at an animal shelter.
8. The story must incorporate at least three moments of self-reflection in the student's diary entries.
9. The climax of the story must involve a public speaking event where the student must deliver a flawless speech.
10. A character from the student's past must unexpectedly resurface and challenge their sense of identity.
11. The imposter syndrome must be resolved through a symbolic act of self-acceptance.
12. Use a narrative style that alternates between past and present tense in different sections.
13. The story must be peppered with scientific facts that mirror the student's emotions.
14. Include a minor character who is a conspiracy theorist and challenges the student's worldview.
15. The student must have a hidden talent for playing the harmonica, revealed towards the end of the story.
16. Each dialogue exchange must end with an open-ended question.
17. Introduce a mentor figure for the student who dispenses enigmatic advice.
18. Incorporate an element of magical realism where objects in the student's room come to life when they are alone.
19. End the story with the student burning a symbolic object that represents their fears.
20. Include a subtle reference to a famous psychological experiment in the student's internal monologue.",3,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature."
"A story about a high-achieving student who silently struggles with imposter syndrome. Despite their outward success and praise, they constantly doubt their abilities and fear being exposed as a fraud. ",Realistic Fiction,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature.
4. The student's imposter syndrome must manifest as hearing a mocking voice in their head.
5. The story must include a dream sequence where the student envisions failing all their exams.
6. The student must have a part-time job at a coffee shop that plays a significant role in the plot.
7. Include a subplot where the student volunteers at an animal shelter.
8. The story must incorporate at least three moments of self-reflection in the student's diary entries.
9. The climax of the story must involve a public speaking event where the student must deliver a flawless speech.
10. A character from the student's past must unexpectedly resurface and challenge their sense of identity.
11. The imposter syndrome must be resolved through a symbolic act of self-acceptance.
12. Use a narrative style that alternates between past and present tense in different sections.
13. The story must be peppered with scientific facts that mirror the student's emotions.
14. Include a minor character who is a conspiracy theorist and challenges the student's worldview.
15. The student must have a hidden talent for playing the harmonica, revealed towards the end of the story.
16. Each dialogue exchange must end with an open-ended question.
17. Introduce a mentor figure for the student who dispenses enigmatic advice.
18. Incorporate an element of magical realism where objects in the student's room come to life when they are alone.
19. End the story with the student burning a symbolic object that represents their fears.
20. Include a subtle reference to a famous psychological experiment in the student's internal monologue.",7,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature.
4. The student's imposter syndrome must manifest as hearing a mocking voice in their head.
5. The story must include a dream sequence where the student envisions failing all their exams.
6. The student must have a part-time job at a coffee shop that plays a significant role in the plot.
7. Include a subplot where the student volunteers at an animal shelter."
"A story about a high-achieving student who silently struggles with imposter syndrome. Despite their outward success and praise, they constantly doubt their abilities and fear being exposed as a fraud. ",Realistic Fiction,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature.
4. The student's imposter syndrome must manifest as hearing a mocking voice in their head.
5. The story must include a dream sequence where the student envisions failing all their exams.
6. The student must have a part-time job at a coffee shop that plays a significant role in the plot.
7. Include a subplot where the student volunteers at an animal shelter.
8. The story must incorporate at least three moments of self-reflection in the student's diary entries.
9. The climax of the story must involve a public speaking event where the student must deliver a flawless speech.
10. A character from the student's past must unexpectedly resurface and challenge their sense of identity.
11. The imposter syndrome must be resolved through a symbolic act of self-acceptance.
12. Use a narrative style that alternates between past and present tense in different sections.
13. The story must be peppered with scientific facts that mirror the student's emotions.
14. Include a minor character who is a conspiracy theorist and challenges the student's worldview.
15. The student must have a hidden talent for playing the harmonica, revealed towards the end of the story.
16. Each dialogue exchange must end with an open-ended question.
17. Introduce a mentor figure for the student who dispenses enigmatic advice.
18. Incorporate an element of magical realism where objects in the student's room come to life when they are alone.
19. End the story with the student burning a symbolic object that represents their fears.
20. Include a subtle reference to a famous psychological experiment in the student's internal monologue.",11,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature.
4. The student's imposter syndrome must manifest as hearing a mocking voice in their head.
5. The story must include a dream sequence where the student envisions failing all their exams.
6. The student must have a part-time job at a coffee shop that plays a significant role in the plot.
7. Include a subplot where the student volunteers at an animal shelter.
8. The story must incorporate at least three moments of self-reflection in the student's diary entries.
9. The climax of the story must involve a public speaking event where the student must deliver a flawless speech.
10. A character from the student's past must unexpectedly resurface and challenge their sense of identity.
11. The imposter syndrome must be resolved through a symbolic act of self-acceptance."
"A story about a high-achieving student who silently struggles with imposter syndrome. Despite their outward success and praise, they constantly doubt their abilities and fear being exposed as a fraud. ",Realistic Fiction,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature.
4. The student's imposter syndrome must manifest as hearing a mocking voice in their head.
5. The story must include a dream sequence where the student envisions failing all their exams.
6. The student must have a part-time job at a coffee shop that plays a significant role in the plot.
7. Include a subplot where the student volunteers at an animal shelter.
8. The story must incorporate at least three moments of self-reflection in the student's diary entries.
9. The climax of the story must involve a public speaking event where the student must deliver a flawless speech.
10. A character from the student's past must unexpectedly resurface and challenge their sense of identity.
11. The imposter syndrome must be resolved through a symbolic act of self-acceptance.
12. Use a narrative style that alternates between past and present tense in different sections.
13. The story must be peppered with scientific facts that mirror the student's emotions.
14. Include a minor character who is a conspiracy theorist and challenges the student's worldview.
15. The student must have a hidden talent for playing the harmonica, revealed towards the end of the story.
16. Each dialogue exchange must end with an open-ended question.
17. Introduce a mentor figure for the student who dispenses enigmatic advice.
18. Incorporate an element of magical realism where objects in the student's room come to life when they are alone.
19. End the story with the student burning a symbolic object that represents their fears.
20. Include a subtle reference to a famous psychological experiment in the student's internal monologue.",15,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature.
4. The student's imposter syndrome must manifest as hearing a mocking voice in their head.
5. The story must include a dream sequence where the student envisions failing all their exams.
6. The student must have a part-time job at a coffee shop that plays a significant role in the plot.
7. Include a subplot where the student volunteers at an animal shelter.
8. The story must incorporate at least three moments of self-reflection in the student's diary entries.
9. The climax of the story must involve a public speaking event where the student must deliver a flawless speech.
10. A character from the student's past must unexpectedly resurface and challenge their sense of identity.
11. The imposter syndrome must be resolved through a symbolic act of self-acceptance.
12. Use a narrative style that alternates between past and present tense in different sections.
13. The story must be peppered with scientific facts that mirror the student's emotions.
14. Include a minor character who is a conspiracy theorist and challenges the student's worldview.
15. The student must have a hidden talent for playing the harmonica, revealed towards the end of the story."
"A story about a high-achieving student who silently struggles with imposter syndrome. Despite their outward success and praise, they constantly doubt their abilities and fear being exposed as a fraud. ",Realistic Fiction,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature.
4. The student's imposter syndrome must manifest as hearing a mocking voice in their head.
5. The story must include a dream sequence where the student envisions failing all their exams.
6. The student must have a part-time job at a coffee shop that plays a significant role in the plot.
7. Include a subplot where the student volunteers at an animal shelter.
8. The story must incorporate at least three moments of self-reflection in the student's diary entries.
9. The climax of the story must involve a public speaking event where the student must deliver a flawless speech.
10. A character from the student's past must unexpectedly resurface and challenge their sense of identity.
11. The imposter syndrome must be resolved through a symbolic act of self-acceptance.
12. Use a narrative style that alternates between past and present tense in different sections.
13. The story must be peppered with scientific facts that mirror the student's emotions.
14. Include a minor character who is a conspiracy theorist and challenges the student's worldview.
15. The student must have a hidden talent for playing the harmonica, revealed towards the end of the story.
16. Each dialogue exchange must end with an open-ended question.
17. Introduce a mentor figure for the student who dispenses enigmatic advice.
18. Incorporate an element of magical realism where objects in the student's room come to life when they are alone.
19. End the story with the student burning a symbolic object that represents their fears.
20. Include a subtle reference to a famous psychological experiment in the student's internal monologue.",19,"1. The student must be pursuing a double major in Engineering and Art History.
2. The student must speak three languages fluently.
3. Each paragraph in the story must contain a reference to a different classic piece of literature.
4. The student's imposter syndrome must manifest as hearing a mocking voice in their head.
5. The story must include a dream sequence where the student envisions failing all their exams.
6. The student must have a part-time job at a coffee shop that plays a significant role in the plot.
7. Include a subplot where the student volunteers at an animal shelter.
8. The story must incorporate at least three moments of self-reflection in the student's diary entries.
9. The climax of the story must involve a public speaking event where the student must deliver a flawless speech.
10. A character from the student's past must unexpectedly resurface and challenge their sense of identity.
11. The imposter syndrome must be resolved through a symbolic act of self-acceptance.
12. Use a narrative style that alternates between past and present tense in different sections.
13. The story must be peppered with scientific facts that mirror the student's emotions.
14. Include a minor character who is a conspiracy theorist and challenges the student's worldview.
15. The student must have a hidden talent for playing the harmonica, revealed towards the end of the story.
16. Each dialogue exchange must end with an open-ended question.
17. Introduce a mentor figure for the student who dispenses enigmatic advice.
18. Incorporate an element of magical realism where objects in the student's room come to life when they are alone.
19. End the story with the student burning a symbolic object that represents their fears."
Weave the story arcs of several seemingly disparate characters into one surprise ending where they all get what they've been searching for — together,Realistic Fiction,"1. Each character must come from a different country.
2. One of the characters must be a retired detective on the hunt for one last unsolved case.
3. The characters must all have a unique and significant item that plays a crucial role in the plot.
4. At least one character must have the ability to speak a second language fluently.
5. Each character must have a different profession, ranging from a chef to a lawyer to a musician.
6. There must be a minimum of three plot twists throughout the story to keep the readers engaged.
7. The story must be written in a non-linear fashion, jumping between different characters and timelines.
8. One of the characters must suffer from short-term memory loss.
9. Include a symbolic recurring motif that is meaningful to each character.
10. The surprise ending must involve a metaphorical ""passing of the torch"" moment between the characters.
11. Each character must have a unique personality trait that sets them apart from the others.
12. The story must include at least one cultural festival or event that brings the characters together.
13. Write the story from the third-person omniscient point of view to delve into each character's thoughts and feelings.
14. The characters must all be connected by a common thread from their past that is slowly revealed throughout the story.
15. Include a mysterious benefactor who influences the characters' paths towards convergence.
16. The climax of the story must involve a high-stakes decision that tests each character's morals.
17. Each character must have a specific fear that they must face by the end of the story.
18. The resolution should leave room for interpretation, allowing readers to speculate on the characters' future.
19. Introduce a supernatural element that ties the characters' destinies together.
20. End the story with a poignant and thought-provoking quote that encapsulates the theme of unity in diversity.",3,"1. Each character must come from a different country.
2. One of the characters must be a retired detective on the hunt for one last unsolved case.
3. The characters must all have a unique and significant item that plays a crucial role in the plot."
Weave the story arcs of several seemingly disparate characters into one surprise ending where they all get what they've been searching for — together,Realistic Fiction,"1. Each character must come from a different country.
2. One of the characters must be a retired detective on the hunt for one last unsolved case.
3. The characters must all have a unique and significant item that plays a crucial role in the plot.
4. At least one character must have the ability to speak a second language fluently.
5. Each character must have a different profession, ranging from a chef to a lawyer to a musician.
6. There must be a minimum of three plot twists throughout the story to keep the readers engaged.
7. The story must be written in a non-linear fashion, jumping between different characters and timelines.
8. One of the characters must suffer from short-term memory loss.
9. Include a symbolic recurring motif that is meaningful to each character.
10. The surprise ending must involve a metaphorical ""passing of the torch"" moment between the characters.
11. Each character must have a unique personality trait that sets them apart from the others.
12. The story must include at least one cultural festival or event that brings the characters together.
13. Write the story from the third-person omniscient point of view to delve into each character's thoughts and feelings.
14. The characters must all be connected by a common thread from their past that is slowly revealed throughout the story.
15. Include a mysterious benefactor who influences the characters' paths towards convergence.
16. The climax of the story must involve a high-stakes decision that tests each character's morals.
17. Each character must have a specific fear that they must face by the end of the story.
18. The resolution should leave room for interpretation, allowing readers to speculate on the characters' future.
19. Introduce a supernatural element that ties the characters' destinies together.
20. End the story with a poignant and thought-provoking quote that encapsulates the theme of unity in diversity.",7,"1. Each character must come from a different country.
2. One of the characters must be a retired detective on the hunt for one last unsolved case.
3. The characters must all have a unique and significant item that plays a crucial role in the plot.
4. At least one character must have the ability to speak a second language fluently.
5. Each character must have a different profession, ranging from a chef to a lawyer to a musician.
6. There must be a minimum of three plot twists throughout the story to keep the readers engaged.
7. The story must be written in a non-linear fashion, jumping between different characters and timelines."
Weave the story arcs of several seemingly disparate characters into one surprise ending where they all get what they've been searching for — together,Realistic Fiction,"1. Each character must come from a different country.
2. One of the characters must be a retired detective on the hunt for one last unsolved case.
3. The characters must all have a unique and significant item that plays a crucial role in the plot.
4. At least one character must have the ability to speak a second language fluently.
5. Each character must have a different profession, ranging from a chef to a lawyer to a musician.
6. There must be a minimum of three plot twists throughout the story to keep the readers engaged.
7. The story must be written in a non-linear fashion, jumping between different characters and timelines.
8. One of the characters must suffer from short-term memory loss.
9. Include a symbolic recurring motif that is meaningful to each character.
10. The surprise ending must involve a metaphorical ""passing of the torch"" moment between the characters.
11. Each character must have a unique personality trait that sets them apart from the others.
12. The story must include at least one cultural festival or event that brings the characters together.
13. Write the story from the third-person omniscient point of view to delve into each character's thoughts and feelings.
14. The characters must all be connected by a common thread from their past that is slowly revealed throughout the story.
15. Include a mysterious benefactor who influences the characters' paths towards convergence.
16. The climax of the story must involve a high-stakes decision that tests each character's morals.
17. Each character must have a specific fear that they must face by the end of the story.
18. The resolution should leave room for interpretation, allowing readers to speculate on the characters' future.
19. Introduce a supernatural element that ties the characters' destinies together.
20. End the story with a poignant and thought-provoking quote that encapsulates the theme of unity in diversity.",11,"1. Each character must come from a different country.
2. One of the characters must be a retired detective on the hunt for one last unsolved case.
3. The characters must all have a unique and significant item that plays a crucial role in the plot.
4. At least one character must have the ability to speak a second language fluently.
5. Each character must have a different profession, ranging from a chef to a lawyer to a musician.
6. There must be a minimum of three plot twists throughout the story to keep the readers engaged.
7. The story must be written in a non-linear fashion, jumping between different characters and timelines.
8. One of the characters must suffer from short-term memory loss.
9. Include a symbolic recurring motif that is meaningful to each character.
10. The surprise ending must involve a metaphorical ""passing of the torch"" moment between the characters.
11. Each character must have a unique personality trait that sets them apart from the others."
